ean,brand,productTitle,productImage,basis,kj,kcal,fat,carbs,protein,sugars,fiber,salt,saturatedFat,,,
8717982008239,Almhof,Almhof Proteine kwark perzik maracuja,https://static.ah.nl/dam/product/AHI_43545239393430393236?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,251,59,0,4.5,9.3,4.1,,0.12,0,,,
8717982008253,Almhof,Almhof Proteine kwark aardbei,https://static.ah.nl/dam/product/AHI_43545239393430393237?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,252,59,0,4.4,9.3,3.9,,0.12,0,,,
8718907617376,AH,AH Ananas mango,https://static.ah.nl/dam/product/AHI_43545239393431383331?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,251,59,0.2,13,0.6,13,1.6,0,0,0.1,,
8718907617369,AH,AH Ananas appel druif,https://static.ah.nl/dam/product/AHI_43545239393433333838?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,248,59,0.1,13,0.5,12,1.8,0,0,0.1,,
7613287833624,Little Rockets,Little Rockets Knijpfruit appel banaan 2+ jaar 6-pack,https://static.ah.nl/dam/product/AHI_43545239393433373936?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,246,59,0.1,14,0.4,12,1.1,0.01,0.1,,,
8710624288853,Bonbébé,Bonbébé Bio Fruit Appel Banaan Sinaasappel 6+ Maanden 200 g,https://files.vomar.nl/articles/Bonb-b-Bio-Fruit-Appel-Banaan-Sinaasappel-6-Maanden-200-g-8710624288853-1-637957251784015201.png,,255,60,0,13,0.5,,,0.01,,,,
8710466231529,Dr. Oetker,Dr. Oetker Jelly Aardbeiensmaak Pudding 94 g,https://files.vomar.nl/articles/Dr.-Oetker-Jelly-Aardbeiensmaak-Pudding-94-g-8710466231529-1-637957253159185723.png,,257,60,0,15,0,15,,0.09,,,,
8718477594732,Unbranded,Fruitsalade Mango Appel 150 g,https://files.vomar.nl/articles/Fruitsalade-Mango-Appel-150-g-8718477594732-1-638223552649785481.png,,254,60,0.1,13,0.5,12,,0.01,,,,
8718215090014,Katharos,Katharos Griekse Stijl Yoghurt 2.0% 1 kg,https://files.vomar.nl/articles/Katharos-Griekse-Stijl-Yoghurt-2.0-1-kg-8718215090014-1-637957269596384887.png,,255,60,2,4.5,6,4.5,0,0.1,,,,
7394376665127,Oatly,Oatly The Original Haverdrank Vol 1 L,https://files.vomar.nl/articles/Oatly-The-Original-Haverdrank-Vol-1-L-7394376665127-1-638059393635522468.png,,249,60,0.3,7.1,1.1,,0.8,0.1,,,,
8713500011897,Organix,"Organix Knijpfruit Havermout, abrikoos & banaan 12mnd",https://files.vomar.nl/articles/Organix-Knijpfruit-Havermout-abrikoos-banaan-12mnd-8713500011897-1-637929578580316835.png,,256,60,0.1,12,1.2,6.5,1.2,0.01,,,,
8712423010420,Unox,Unox Soep in Zak Mosterdsoep 570 ml,https://files.vomar.nl/articles/Unox-Soep-in-Zak-Mosterdsoep-570-ml-8712423010420-1-637957253454969466.png,,257,60,3.6,3.6,1.7,1,0.5,0.74,,,,
